City,Cloudiness,Country,Date,Humidity,Lat,Lng,temp,Wind Speed
victoria,100,HK,1639988494,88,22.2855,114.1577,17.4,0.45
mar del plata,0,AR,1639988679,96,-38.0023,-57.5575,17.71,3.13
upernavik,100,GL,1639988680,70,72.7868,-56.1549,-3.88,1.95
liyang,58,CN,1639988681,36,29.7057,118.2862,16.17,1.54
nikolskoye,100,RU,1639988682,85,59.7035,30.7861,-9.06,4.57
hilo,90,US,1639988683,49,19.7297,-155.09,22.93,1.54
kaitangata,6,NZ,1639988684,71,-46.2817,169.8464,14.96,4.9
puerto ayora,95,EC,1639988684,94,-0.7393,-90.3518,20.68,2.85
punta arenas,75,CL,1639988685,71,-53.15,-70.9167,8.06,10.8
canals,100,ES,1639988686,93,38.9625,-0.5844,11.17,2.9
jamestown,1,US,1639988504,95,42.097,-79.2353,-2.38,0.45
arraial do cabo,75,BR,1639988687,94,-22.9661,-42.0278,19.98,1.54
mataura,13,NZ,1639988688,85,-46.1927,168.8643,14.15,3.48
portland,90,US,1639988407,93,45.5234,-122.6762,5.96,0.89
tautira,22,PF,1639988689,71,-17.7333,-149.15,26.01,5.36
honningsvag,40,NO,1639988690,80,70.9821,25.9704,-1.14,2.57
georgetown,20,MY,1639988691,69,5.4112,100.3354,30.97,2.57
butaritari,100,KI,1639988692,73,3.0707,172.7902,27.71,6.45
mahebourg,75,MU,1639988693,70,-20.4081,57.7,30.16,5.14
terrasini,0,IT,1639988693,77,38.146,13.0844,12.72,3.09
yellowknife,1,CA,1639988695,76,62.456,-114.3525,-30.88,5.14
tiarei,7,PF,1639988695,72,-17.5333,-149.3333,26.01,6.29
ushuaia,75,AR,1639988696,75,-54.8,-68.3,4.81,2.06
busselton,0,AU,1639988697,41,-33.65,115.3333,31.72,6.85
chokurdakh,100,RU,1639988698,79,70.6333,147.9167,-18.44,7.6
bikin,100,RU,1639988698,96,46.8161,134.26,-11.73,1.85
mazamari,92,PE,1639988700,98,-11.3258,-74.5308,20.48,0.71
obihiro,98,JP,1639988700,74,42.9172,143.2044,-3.33,2.31
sao joao da barra,11,BR,1639988701,82,-21.6403,-41.0511,21.84,3.34
wagar,1,SD,1639988702,56,16.1525,36.2032,27.69,4.87
saint george,1,US,1639988665,69,37.1041,-113.5841,1.33,0.0
bethel,1,US,1639988465,69,41.3712,-73.414,-3.62,0.45
atuona,11,PF,1639988704,71,-9.8,-139.0333,25.47,6.33
auriflama,2,BR,1639988705,81,-20.6856,-50.5547,18.16,4.12
vestmanna,90,FO,1639988706,93,62.1564,-7.1664,3.51,1.54
hasaki,22,JP,1639988706,44,35.7333,140.8333,8.16,2.46
tilichiki,100,RU,1639988707,96,60.4667,166.1,-27.56,3.76
rikitea,100,PF,1639988708,89,-23.1203,-134.9692,22.48,7.87
san patricio,100,US,1639988709,84,28.017,-97.5169,11.91,3.17
albany,40,US,1639988709,81,42.6001,-73.9662,-6.62,2.27
pisco,90,PE,1639988710,94,-13.7,-76.2167,17.79,1.54
paka,20,MY,1639988711,58,4.6374,103.4368,29.96,4.63
korla,100,CN,1639988712,43,41.7597,86.1469,-1.55,0.6
naqadeh,1,IR,1639988713,46,36.9553,45.388,6.92,3.24
santa fe,30,AR,1639988713,60,-31.6333,-60.7,25.56,0.45
yumen,3,CN,1639988715,17,40.2833,97.2,3.5,7.42
hobart,40,AU,1639988518,44,-42.8794,147.3294,18.48,5.36
shelburne,100,CA,1639988467,90,44.0787,-80.2041,-6.34,4.54
north bend,90,US,1639988716,100,43.4065,-124.2243,11.62,2.06
palauig,83,PH,1639988717,75,15.435,119.9045,28.79,1.99
la ronge,90,CA,1639988718,70,55.1001,-105.2842,-25.86,3.09
tholos,2,GR,1639988719,67,40.9999,23.7823,8.37,1.11
bengkulu,100,ID,1639988720,67,-3.8004,102.2655,28.0,3.5
bluff,9,NZ,1639988720,71,-46.6,168.3333,14.33,11.32
port-gentil,40,GA,1639988721,79,-0.7193,8.7815,29.98,2.57
dikson,89,RU,1639988722,98,73.5069,80.5464,-31.56,2.86
castro,64,BR,1639988567,99,-24.7911,-50.0119,10.2,1.84
tasiilaq,100,GL,1639988724,59,65.6145,-37.6368,1.09,2.91
hermanus,8,ZA,1639988725,60,-34.4187,19.2345,29.39,7.92
salalah,20,OM,1639988726,54,17.0151,54.0924,27.05,4.12
vaini,75,TO,1639988727,94,-21.2,-175.2,26.09,2.57
ostersund,0,SE,1639988728,86,63.1792,14.6357,-3.75,3.09
leningradskiy,81,RU,1639988728,79,69.3833,178.4167,-23.69,6.9
vestmannaeyjar,40,IS,1639988729,93,63.4427,-20.2734,6.55,2.57
cape town,20,ZA,1639988674,47,-33.9258,18.4232,29.51,2.57
kapaa,40,US,1639988731,76,22.0752,-159.319,24.18,1.34
tudela,43,ES,1639988732,87,42.0617,-1.6045,3.28,1.11
state college,40,US,1639988724,85,40.7934,-77.86,-5.34,0.89
tahoua,0,NE,1639988733,20,14.8888,5.2692,18.66,10.4
tuktoyaktuk,71,CA,1639988735,91,69.4541,-133.0374,-24.16,6.76
ilulissat,100,GL,1639988736,36,69.2167,-51.1,5.01,14.4
jaru,100,BR,1639988736,99,-10.4389,-62.4664,22.74,0.91
sibolga,100,ID,1639988737,85,1.7427,98.7792,26.25,0.7
narsaq,100,GL,1639988738,62,60.9167,-46.05,9.12,7.23
tomatlan,24,MX,1639988739,71,19.9333,-105.25,20.41,1.65
alofi,75,NU,1639988739,78,-19.0595,-169.9187,24.94,4.63
codrington,18,AU,1639988740,61,-38.2667,141.9667,18.2,8.91
ponta do sol,93,PT,1639988741,94,32.6667,-17.1,20.0,6.42
hami,0,CN,1639988742,37,42.8,93.45,-0.55,1.91
kansanshi,100,ZM,1639988743,90,-12.0951,26.4273,19.11,2.07
longyearbyen,75,SJ,1639988525,79,78.2186,15.6401,-6.09,4.12
los arcos,100,PH,1639988744,70,8.6328,125.9856,28.24,2.08
carnarvon,0,AU,1639988745,61,-24.8667,113.6333,28.04,10.29
lebu,27,CL,1639988746,94,-37.6167,-73.65,13.2,6.62
sorland,100,NO,1639988747,51,67.667,12.6934,3.92,5.32
kalyazin,100,RU,1639988748,87,57.2403,37.8433,-10.55,7.04
praia da vitoria,40,PT,1639988749,87,38.7333,-27.0667,13.75,11.78
navahrudak,100,BY,1639988750,84,53.6,25.8333,-3.8,6.35
port elizabeth,0,ZA,1639988751,64,-33.918,25.5701,25.05,3.6
khatanga,100,RU,1639988655,98,71.9667,102.5,-23.81,5.36
gazojak,4,TM,1639988752,46,41.1875,61.4036,13.79,5.61
suraabad,0,AZ,1639988753,39,40.8192,49.4687,9.1,9.28
malakal,97,SS,1639988753,20,9.5334,31.6605,25.46,4.42
faanui,15,PF,1639988754,74,-16.4833,-151.75,27.06,5.34
guerrero negro,1,MX,1639988755,60,27.9769,-114.0611,13.58,1.61
vrangel,90,RU,1639988756,75,42.7297,133.0839,-0.29,1.66
tuatapere,16,NZ,1639988757,64,-46.1333,167.6833,14.34,3.56
torbay,90,CA,1639988757,86,47.6666,-52.7314,-4.07,4.12
el castillo,97,MX,1639988758,92,19.5333,-96.85,15.36,0.39
riyadh,100,SA,1639988483,32,24.6877,46.7219,24.08,5.19
bredasdorp,92,ZA,1639988760,68,-34.5322,20.0403,24.6,9.77
pacific grove,1,US,1639988760,85,36.6177,-121.9166,10.84,0.89
shingu,2,JP,1639988761,68,33.7333,135.9833,11.06,3.28
benjamin constant,100,BR,1639988762,99,-4.3831,-70.0311,24.07,0.72
clyde river,100,CA,1639988763,92,70.4692,-68.5914,-10.87,9.26
souillac,75,MU,1639988523,70,-20.5167,57.5167,30.21,5.14
reconquista,68,AR,1639988764,46,-29.15,-59.65,24.73,2.1
ayan,9,RU,1639988765,70,56.45,138.1667,-24.58,5.36
fortuna,90,US,1639988766,81,40.5982,-124.1573,12.59,0.89
flinders,7,AU,1639988767,82,-34.5833,150.8552,29.33,2.86
macaracas,36,PA,1639988767,99,7.7333,-80.55,24.73,1.36
okhotsk,100,RU,1639988768,96,59.3833,143.3,-16.66,5.47
puerto escondido,100,MX,1639988769,74,15.85,-97.0667,25.32,1.48
chuy,19,UY,1639988770,95,-33.6971,-53.4616,17.04,1.98
awjilah,84,LY,1639988771,56,29.1081,21.2869,12.85,4.43
sierpc,87,PL,1639988772,90,52.8568,19.6691,0.91,7.91
ambon,40,ID,1639988774,62,-3.6954,128.1814,31.08,1.54
saint-philippe,98,RE,1639988775,84,-21.3585,55.7679,28.75,5.22
sitka,1,US,1639988776,74,57.0531,-135.33,-3.06,2.57
san jose de guanipa,97,VE,1639988777,91,8.8872,-64.1651,22.11,4.16
gidam,0,IN,1639988778,25,18.9833,81.4,26.47,1.31
barrow,90,US,1639988742,85,71.2906,-156.7887,-10.99,11.32
zhigansk,74,RU,1639988779,100,66.7697,123.3711,-44.08,1.7
partizansk,95,RU,1639988780,96,43.1258,133.1339,-5.44,0.82
saint anthony,1,US,1639988781,77,45.0205,-93.218,-2.32,1.34
avarua,40,CK,1639988721,83,-21.2078,-159.775,25.03,2.06
camacha,40,PT,1639988783,82,33.0833,-16.3333,18.07,8.23
valparaiso,75,CL,1639988784,94,-33.0393,-71.6273,13.51,1.54
zhangye,0,CN,1639988784,27,38.9342,100.4517,5.57,2.08
vila velha,90,BR,1639988491,94,-20.3297,-40.2925,20.97,4.02
haines junction,98,CA,1639988786,76,60.7522,-137.5108,-26.03,0.51
geraldton,4,AU,1639988786,57,-28.7667,114.6,26.23,9.26
klaksvik,100,FO,1639988787,83,62.2266,-6.589,4.51,2.72
cabo san lucas,5,MX,1639988788,79,22.8909,-109.9124,20.28,1.69
nevsehir,75,TR,1639988789,93,38.9167,34.6667,0.56,2.57
kondoa,65,TZ,1639988790,48,-4.9,35.7833,26.74,4.1
ust-maya,100,RU,1639988791,96,60.4167,134.5333,-32.2,1.73
bandarbeyla,55,SO,1639988792,66,9.4942,50.8122,27.21,7.94
solnechnyy,98,RU,1639988793,99,50.7214,136.6319,-20.63,1.31
talnakh,45,RU,1639988794,95,69.4865,88.3972,-36.07,1.16
cervo,78,ES,1639988794,69,43.6702,-7.4101,10.44,3.05
te anau,63,NZ,1639988795,80,-45.4167,167.7167,12.1,3.67
rocha,0,UY,1639988797,95,-34.4833,-54.3333,15.86,2.06
callaway,1,US,1639988797,83,30.153,-85.5699,8.96,5.14
vanavara,10,RU,1639988798,98,60.34,102.2797,-37.74,0.35
qaanaaq,100,GL,1639988799,71,77.484,-69.3632,-5.85,4.26
buchanan,32,LR,1639988800,85,5.8808,-10.0467,24.98,2.23
kaoma,98,ZM,1639988800,71,-14.7833,24.8,24.26,3.53
port alfred,75,ZA,1639988801,74,-33.5906,26.891,23.71,5.63
leshukonskoye,100,RU,1639988802,96,64.8989,45.7622,-19.85,2.54
miyako,25,JP,1639988803,65,39.6367,141.9525,2.24,2.0
saint-augustin,96,CA,1639988803,75,51.226,-58.6502,-13.24,4.2
dongsheng,0,CN,1639988804,30,39.8161,109.9776,0.11,6.57
puerto penasco,3,MX,1639988805,44,31.3167,-113.5333,16.76,1.51
taltal,100,CL,1639988806,85,-25.4,-70.4833,17.08,1.09
katsuura,94,JP,1639988807,51,35.1333,140.3,10.08,2.54
aras,90,ES,1639988807,100,42.5617,-2.356,-0.15,1.54
gilgit,1,PK,1639988808,27,35.9221,74.3087,3.42,0.49
cherskiy,100,RU,1639988809,96,68.75,161.3,-31.77,9.78
kurumkan,17,RU,1639988810,92,54.3,110.3,-26.62,1.84
baherden,0,TM,1639988812,33,38.4362,57.4316,19.03,2.61
porto de moz,100,BR,1639988813,98,-1.7483,-52.2383,23.15,1.32
baoding,0,CN,1639988814,32,38.8511,115.4903,9.36,1.15
husavik,99,IS,1639988814,89,66.0449,-17.3389,4.95,1.82
kavaratti,13,IN,1639988815,68,10.5669,72.642,27.28,1.76
port macquarie,78,AU,1639988637,80,-31.4333,152.9167,26.98,1.41
roma,1,US,1639988725,88,43.2128,-75.4557,-3.82,3.09
timizart,9,DZ,1639988817,65,36.8,4.2667,9.72,1.66
zabaykalsk,19,RU,1639988818,63,49.6333,117.3167,-17.99,9.8
nanchang,88,CN,1639988818,20,28.6833,115.8833,16.48,3.05
grand gaube,9,MU,1639988819,63,-20.0064,57.6608,30.22,3.13
tura,0,IN,1639988820,40,25.5198,90.2201,22.55,1.9
iskateley,100,RU,1639988821,87,67.6803,53.1512,-19.21,5.98
ilhabela,28,BR,1639988822,86,-23.7781,-45.3581,20.87,2.39
cabedelo,26,BR,1639988711,81,-6.9811,-34.8339,25.37,4.47
iqaluit,90,CA,1639988823,71,63.7506,-68.5145,-20.15,4.12
puerto colombia,99,CO,1639988824,85,10.9878,-74.9547,26.05,6.34
ghanzi,26,BW,1639988825,49,-21.5667,21.7833,26.28,5.07
new norfolk,0,AU,1639988826,41,-42.7826,147.0587,19.25,2.24
zaysan,100,KZ,1639988826,87,47.4667,84.8667,-2.5,0.29
cidreira,5,BR,1639988827,86,-30.1811,-50.2056,19.98,6.54
kyra,20,RU,1639988828,52,49.5776,111.9753,-14.5,7.14
